农学,090101
 生物安全	, 070412
 地质学	, 070601
 地理科学	, 070701
 地理信息系统,	 070703
 地球物理学,	 070801
 空间科学与技术,	 070803
 应用气象学	 ,070902
 海洋技术,	 071002
 军事海洋学,	 071004
 理论与应用力学	, 071101
 微电子学	 ,071202
 科技防卫	 ,071204
 信息科学技术	, 071206
 材料物理	, 071251
 环境科学	, 071401
 资源环境科学,	 071403
 应用心理学,	 071502
 系统理论,	 071701
 信息与计算科学	, 070102
 物理学	 ,070201
 声学	, 070203
 化学	, 070251
 化学生物学,	 070303
 生物科学	, 070401
 生物信息学,	 070403
 生物科学与生物技术,	 070405
 生物化学与分子生物学,	 070407
 植物生物技术,	 070409
 生物资源科学,	 070411
 天文学,	 070501
 地球化学,	 070602
 资源环境与城乡规划管理,	 070702
 地球信息科学与技术,	 070704
 地球与空间科学	, 070802
 大气科学	 ,070901
 海洋科学	 ,071001
 海洋管理	 ,071003
 海洋生物资源与环境	, 071005
 电子信息科学与技术	, 071201
 光信息科学与技术	, 071203
 信息安全,	 071205
 光电子技术科学,	 071207
 材料化学	 ,071252
 生态学	 ,071402
 心理学	 ,071501
 统计学	 ,071601
 系统科学与工程,	 071702
 哲学	, 010101
 宗教学	, 010103
 逻辑学	, 010102
 伦理学	, 010104
